Store,Category,Item,Early Bird,Rebate,Price
AAFES,Apparel >> Men's,Hanes Mens Underwear,,,25% OFF
AAFES,Apparel >> Men's,IZOD Mens Wallets,,,30% OFFF
AAFES,Apparel >> Men's,Levi's Mens Wallet,,,30% OFF
AAFES,Apparel >> Men's,Perry Ellis Mens Plush Robes,,,$17.00
AAFES,Apparel >> Men's,The North Face Mens Front Zip Fleece Jacket (Assorted Colors),,,$49.99
AAFES,Apparel >> Men's,Under Armour Storm Armour Mens Fleece Hoodie (Assorted Colors),,,$35.00
AAFES,Apparel >> Men's,Van Heusen Mens Plush Robes (Assorted Styles),,,$17.00
AAFES,Apparel >> Men's,Young Mens Graphic Tees (Assorted Styles),,,$5.00
AAFES,Apparel >> Shoes,Cali Cool Ladies Fashion Boots (Assorted Styles),,,$19.95
AAFES,Apparel >> Shoes,Michael Kors Ladies Trainers Shoes,,,$49.99
AAFES,Apparel >> Shoes,Outland Boys D-Ring Boots (Coffee Bean),,,$19.95
AAFES,Apparel >> Women's,Columbia Glacial Fleece ll 1/4-Zip Front Top (Assorted Colors),,,$19.00
AAFES,Apparel >> Women's,Faux Pashmina Scarf (Assorted Colors),,,$5.00
AAFES,Apparel >> Women's,Juniors Athleisure Pants,,,$10.00
AAFES,Apparel >> Women's,Juniors Athlesiure Hoodies,,,$10.00
AAFES,Apparel >> Women's,Juniors Poof! Sweater (Assorted Styles),,,$10.00
AAFES,Apparel >> Women's,Juniors Poof! Sweater Knit Leggings (Assorted Colors),,,$5.00
AAFES,Apparel >> Women's,JW Ladies Sweaters (Assorted),,,50% OFF
AAFES,Apparel >> Women's,JW Pleather Jacket (Assorted Colors),,,$19.00
AAFES,Apparel >> Women's,K-Bell Cozy Socks (Assorted Colors),,,$2.00
AAFES,Apparel >> Women's,Lucky Brand Sophia Bootcut Jeans,,,$29.00
AAFES,Apparel >> Women's,Michael Kors Crossbody Bag (Black),,,$59.99
AAFES,Apparel >> Women's,Passports Ladies Sweaters (Assorted),,,50% OFF
AAFES,Apparel >> Women's,PBX Ladies Sweaters (Assorted Styles and Colors),,,50% OFF
AAFES,Apparel >> Women's,Rene Rofe Intimates (Assorted Colors),,,50% OFF
