Year,Store,Category,SubCategory,Item,Price
2014,AAFES,Movies & TV,DVD,Godzilla (DVD + Bluray + Ultraviolet),7.95
2014,AAFES,Electronics,Portable Speakers,RockOn Portable Bluetooth Speaker,24.99
2014,AAFES,Video Games,PlayStation 4,Skylanders Trap Team Starter Pack (PS4),59.95
2014,AAFES,Video Games,Xbox 360,Skylanders Trap Team Starter Pack (X360),59.95
2014,AAFES,Video Games,Xbox One,Skylanders Trap Team Starter Pack (XONE),59.95
2014,AAFES,Apparel,Watches,Gear Fit Smartwatch,99.95
2014,AAFES,Video Games,Wii,Skylanders Trap Team Starter Pack (Wii),59.95
2014,AAFES,Apparel,Watches,Gear2 Neo Smartwatch,149.95
2014,AAFES,Video Games,Wii U,Skylanders Trap Team Starter Pack (Wii U),59.95
2014,AAFES,Apparel,Watches,Gear2 Smartwatch,249.95
2014,AAFES,Movies & TV,DVD,The Lego Movie (DVD/Blu-Ray),7.95
2014,AAFES,Toys,,Skylanders Trap Team Adventure Pack,19.95
2014,AAFES,Cameras,DSLR,Cannon EOS Rebel 18MP DSLR Camera Bundle,449.95
2014,AAFES,Movies & TV,DVD,Hercules (DVD),7.95
2014,AAFES,Computer Components,Memory,SanDisk 64GB SDHC Class 10 Memory Card,29.95
2014,AAFES,Video Games,Accessories,Turtle Beach Ear Force Universal Stereo Gaming Headset (DPX21),64.95
2014,AAFES,Apparel,Watches,Fitbit Flex Wireless Activity + Sleep Wristband (Pink),79.95
2014,AAFES,Apparel,Watches,Fitbit Flex Wireless Activity + Sleep Wristband (Black),79.95
2014,AAFES,Video Games,Accessories,Dream Gear Dual Charge Dock (PS4),9.95
2014,AAFES,Cameras,Digital Cameras,Fujifilm FinePix S1 16.4MP Digital Camera Bundle,299.95
2014,AAFES,Electronics,,iLuv Slim Portable Bluetooth Speaker,9.95
2014,AAFES,Movies & TV,DVD,Transformers: Age of Extinction (DVD),7.95
2014,AAFES,Electronics,,Justin Power Stick Portable Power Bank,9.99
2014,AAFES,Apparel,Watches,Fitbit Flex Wireless Activity + Sleep Wristband (Slate),79.95
2014,AAFES,Video Games,Accessories,Dream Gear Dual Charge Dock (XONE),14.95
2014,AAFES,Electronics,,TomTom Via Portable GPS (1505M),99.95
2014,AAFES,Electronics,GPS,Garmin Nuvi Portable GPS (52LM),79.95
2014,AAFES,Cameras,Digital Cameras,Fujifilm FinePix JX660 16MP Digital Camera Bundle,59.95
2014,AAFES,Home Items,Kitchen,Cuisinart Contour 13-pc. Stainless Steel Cookware Set,99.99
2014,AAFES,Movies & TV,DVD,300: Rise of an Empire (DVD + Blu-ray + Ultraviolet),7.95
2014,AAFES,Movies & TV,Blu-ray,Disney's Malificent (DVD),9.95
2014,AAFES,Home Items,Kitchen,Cuisinart Contour 13-pc. Hard Anodized Cookware Set,99.99
2014,AAFES,Movies & TV,Blu-ray,Hercules (DVD + Blu-ray + Ultraviolet),9.95
2014,AAFES,Home Items,Kitchen,Farberware 12-pc. Cookware Set,29.99
2014,AAFES,Electronics,Headphones,iLive Wireless Bluetooth Headphones,19.99
2014,AAFES,Movies & TV,DVD,Neighbors (DVD/Blu-Ray),9.95
2014,AAFES,Home Items,Kitchen,Chicago Cutlery 15-pc. Block Cutlery Set,27.49
2014,AAFES,Movies & TV,Blu-ray,Transformers: Age of Extinction (Blu-Ray),9.95
2014,AAFES,Pet,,Brinkman Gusseted 30 x 40-in. Pet Bed (Assorted Colors),17.99
